序号,SMILES
linker1,C1=CC(=C(C=C1Br)N)Br
linker2,C1=CC(=C(C=C1Br)O)Br
linker3,CC1=C(C=CC(=C1)Br)Br
linker4,C1=CC(=C(C=C1Br)[N+](=O)[O-])Br
linker5,CC1=CC(=CC(=C1Br)C)Br
linker6,BrC1=C(C=C(C=C1[N+](=O)[O-])Br)[N+](=O)[O-]
linker7,CC1=CC(=C(C=C1Br)C)Br
linker8,C1=C(C(=CC(=C1Br)[N+](=O)[O-])Br)[N+](=O)[O-]
linker9,CC1=C(C=CC(=C1C)Br)Br
linker10,C1=CC(=C(C(=C1Br)[N+](=O)[O-])[N+](=O)[O-])Br
linker11,C1(=C(C(=C(C(=C1Br)N)N)Br)N)N
linker12,BrC1=C(C(=C(C(=C1O)O)Br)O)O
linker13,CC1=C(C(=C(C(=C1Br)C)C)Br)C
linker14,BrC1=CC(=C(C=C1)C1=C(C=C(C=C1)Br)CO)CO
linker15,C1=CC(=CC=C1C2=C(C=C(C=C2)Br)N)Br
linker16,C1=CC(=C(C=C1Br)N)C2=C(C=C(C=C2)Br)N
linker17,BrC=1C=C(C(=CC1[N+](=O)[O-])C1=CC(=C(C=C1[N+](=O)[O-])Br)N)N
linker18,BrC=1C=C(C(=CC1[N+](=O)[O-])C1=CC(=C(C(=C1)[N+](=O)[O-])Br)N)N
linker19,C1=CC(=CC=C1C2=CC=C(C=C2)Br)Br
linker20,CC1=C(C=CC(=C1)Br)C2=C(C=C(C=C2)Br)C
linker21,CC1=CC(=CC(=C1C2=C(C=C(C=C2C)Br)C)C)Br
linker22,C1=CC(=CC=C1C2=C(C=C(C=C2)Br)[N+](=O)[O-])Br
linker23,C1=CC(=C(C=C1Br)[N+](=O)[O-])C2=C(C=C(C=C2)Br)[N+](=O)[O-]
linker24,BrC1=CC(=C(C(=C1)[N+](=O)[O-])C1=CC=C(C=C1)Br)[N+](=O)[O-]
