name,PLD(A),LCD(A),surfacearea[m^2/g],Porosity,Density(gr/cm3),%C,%F,%H,%N,%O,%S,%Si
linker100_C_linker1_C_dei-z_relaxed_interp_2,11.43517,12.61526,4476.65,0.738818,0.467104,54.545455,0,36.363636,4.545455,4.545455,0,0
linker100_C_linker1_C_kgm_relaxed,15.56303,17.62281,5324.04,0.797366,0.391235,54.545455,0,36.363636,4.545455,4.545455,0,0
linker100_C_linker1_C_lvt_relaxed_interp_2,5.89921,10.11774,4987.26,0.756784,0.507639,54.545455,0,36.363636,4.545455,4.545455,0,0
linker100_C_linker1_C_nfa_relaxed,11.91195,14.46784,5234.51,0.792061,0.407142,54.545455,0,36.363636,4.545455,4.545455,0,0
linker100_C_linker1_C_nfc_relaxed,6.93423,8.34558,5454.1,0.750269,0.511833,54.545455,0,36.363636,4.545455,4.545455,0,0
linker100_C_linker1_C_tcb_relaxed,4.51964,6.11937,633.082,0.23399,0.87942,54.545455,0,36.363636,4.545455,4.545455,0,0
linker100_C_linker1_C_umc_relaxed_interp_2,8.94172,12.3633,4958.27,0.759145,0.446373,54.545455,0,36.363636,4.545455,4.545455,0,0
linker100_C_linker1_C_umd_relaxed_interp_2,8.4538,11.82927,5169.1,0.762602,0.442867,54.545455,0,36.363636,4.545455,4.545455,0,0
linker100_C_linker10_C_gis_relaxed,9.60094,14.00691,4786.39,0.790396,0.445858,50,0,20.833333,8.333333,20.833333,0,0
linker100_C_linker10_C_kgm_relaxed,14.56626,16.44316,3423.09,0.733116,0.544323,50,0,20.833333,8.333333,20.833333,0,0
linker100_C_linker100_C_ana_relaxed,10.14693,13.11389,4194.72,0.794472,0.46016,60,0,30,0,10,0,0
linker100_C_linker102_C_cda_relaxed,6.24851,6.59903,1300.99,0.469505,0.869867,61.445783,0,33.73494,0,4.819277,0,0
linker100_C_linker103_C_pts_relaxed,7.60479,9.31044,4093.03,0.778347,0.515545,64.912281,0,31.578947,0,3.508772,0,0
linker100_C_linker105_C_pts_relaxed,4.34066,4.97307,1545.76,0.562517,0.821354,60,0,30,0,10,0,0
linker100_C_linker108_C_pts_relaxed,4.37287,5.8785,1803.8,0.6035,0.834415,66.666667,0,28.571429,0,4.761905,0,0
linker100_C_linker11_C_dia_relaxed,8.8731,9.67457,5433.3,0.743239,0.453185,42.857143,0,39.285714,14.285714,3.571429,0,0
linker100_C_linker11_C_gis_relaxed,10.00706,16.50699,4733.02,0.774619,0.388927,42.857143,0,39.285714,14.285714,3.571429,0,0
linker100_C_linker11_C_mer_relaxed,15.06719,19.03062,4599.99,0.787875,0.367754,42.857143,0,39.285714,14.285714,3.571429,0,0
linker100_C_linker11_C_nfa_relaxed,11.57022,13.01174,3962.44,0.721973,0.498621,42.857143,0,39.285714,14.285714,3.571429,0,0
linker100_C_linker12_C_dia_relaxed,8.82802,9.82571,5240.15,0.767283,0.464247,50,0,29.166667,0,20.833333,0,0
linker100_C_linker12_C_gis_relaxed,10.20953,15.92628,4849.26,0.797413,0.400153,50,0,29.166667,0,20.833333,0,0
linker100_C_linker12_C_kgm_relaxed,15.19575,17.08502,3687.25,0.74408,0.492638,50,0,29.166667,0,20.833333,0,0
linker100_C_linker12_C_lvt_relaxed_interp_2,5.50382,10.20776,3447.13,0.694951,0.63518,50,0,29.166667,0,20.833333,0,0
linker100_C_linker12_C_nfa_relaxed,11.43619,13.04422,3936.79,0.74112,0.511455,50,0,29.166667,0,20.833333,0,0
linker100_C_linker13_C_gis_relaxed,9.73115,15.80654,4567.97,0.724599,0.381131,50,0,46.875,0,3.125,0,0
linker100_C_linker13_C_kgm_relaxed,15.39693,16.33625,3034.94,0.616633,0.471869,50,0,46.875,0,3.125,0,0
linker100_C_linker13_C_mer_relaxed,15.05644,18.34548,4495.14,0.742259,0.361033,50,0,46.875,0,3.125,0,0
linker100_C_linker14_C_dia_relaxed_interp_2,9.72064,10.73477,6328.64,0.768197,0.408576,52.631579,0,39.473684,0,7.894737,0,0
linker100_C_linker14_C_lvt_relaxed_interp_3,9.13958,12.40335,4355.96,0.714319,0.488981,52.631579,0,39.473684,0,7.894737,0,0
linker100_C_linker15_C_lvt_relaxed_interp_3,8.925,13.4243,5627.39,0.793591,0.415869,56.25,0,37.5,3.125,3.125,0,0
linker100_C_linker16_C_lvt_relaxed_interp_3,9.2295,14.839,4545.95,0.758894,0.442299,52.941176,0,38.235294,5.882353,2.941176,0,0
linker100_C_linker16_C_qtz_relaxed_interp_2,15.3982,15.99668,5025.41,0.788427,0.355372,52.941176,0,38.235294,5.882353,2.941176,0,0
linker100_C_linker17_C_dia_relaxed_interp_2,6.50298,12.38705,4989.36,0.748113,0.481506,47.368421,0,28.947368,10.526316,13.157895,0,0
linker100_C_linker18_C_dia_relaxed_interp_2,10.17868,11.28196,4784.15,0.748751,0.484775,47.368421,0,28.947368,10.526316,13.157895,0,0
linker100_C_linker2_C_dei-z_relaxed_interp_2,9.21114,11.09236,4599.37,0.726531,0.473809,57.142857,0,33.333333,0,9.52381,0,0
linker100_C_linker2_C_lvt_relaxed_interp_2,6.36393,10.74618,4718.18,0.752802,0.513739,57.142857,0,33.333333,0,9.52381,0,0
linker100_C_linker2_C_nfc_relaxed,7.12545,8.3515,5171.3,0.757125,0.522818,57.142857,0,33.333333,0,9.52381,0,0
